cik,Bankruptcy,date,sale,ch,invt,ap,act,ebit,gp,oancf,at,re,ni,ebitda,dd1,dltt,lct,Working capital/Total assets,CurrentRatio,Current Assets/Total Assets ,(Current Assets-Inventory)/Tot. Assets,Current Liabilities/Total Assets,EBITDA/Total Sales,Cash/Current Liabilities,Cash/Total Assets,Cash/Total Debt,Long Term Debt/Total Assets,Total Debt/Total Assets,EBITDA/Total Assets,EBIT/Total Assets,Net Income/Total Assets (ROA),Retained Earnings/Total assets,Total Sales/Total Assets,Operating Cash Flow/Total Assets,Operating Cash Flow/Total Sales ,Gross Trading Proﬁt/Total Sales ,EBIT/Total Sales (operating margin),Current Assets/Total Sales,Accounts Payable/Total Sales,Inventory/Total Sales,Cash/Total Sales
910406,0,2011,1130.257,27.517,171.09799999999996,93.194,371.066,107.734,344.402,58.658,1333.504,303.03,54.982,131.858,0.633,229.54,170.685,0.1502665158859666,2.1739813106013997,0.27826388222307546,0.14995680552889232,0.12799736633710887,0.09888084325206374,0.1612151038462665,0.020635108706085627,0.11954920863871955,0.17213296698022654,0.17260765622000385,0.09888084325206374,0.08079015885966596,0.04123122240353235,0.2272434128431561,0.8475842592148206,0.04398786955269726,0.05189793117848419,0.304711229392961,0.095318144457411,0.3283023241616729,0.08245381360168527,0.15137973045068506,0.024345790382187413
23666,0,2012,4094.0,235.0,288.0,359.0,1002.0,329.0,1347.0,249.0,2450.0,151.0,845.0,516.0,5.0,939.0,833.0,0.06897959183673469,1.2028811524609844,0.4089795918367347,0.2914285714285714,0.34,0.2106122448979592,0.28211284513805523,0.09591836734693876,0.2489406779661017,0.38326530612244897,0.3853061224489796,0.2106122448979592,0.13428571428571429,0.3448979591836735,0.061632653061224486,1.6710204081632654,0.10163265306122447,0.06082071323888617,0.3290180752320469,0.08036150464093796,0.24474841231069855,0.08768930141670737,0.07034684904738643,0.05740107474352711
1545158,0,2012,18380.0,1255.0,1928.0,1556.0,4823.0,2883.0,6309.0,3035.0,23329.0,-666.0,1642.0,3311.0,5.0,9966.0,3606.0,0.05216683098289682,1.3374930671103715,0.20673839427322216,0.12409447468815638,0.15457156329032534,0.14192635775215398,0.34803105934553524,0.05379570491662737,0.12586500852472168,0.4271936216725963,0.4274079471901925,0.14192635775215398,0.12358009344592567,0.07038449997856745,-0.02854815894380385,0.7878606026833554,0.13009558918084788,0.16512513601741022,0.34325353645266593,0.15685527747551686,0.26240478781284005,0.08465723612622415,0.10489662676822634,0.06828073993471165
1103982,0,2013,35299.0,2664.0,3743.0,5345.0,13216.0,4216.0,13970.0,6410.0,72557.0,10530.0,3915.0,5293.0,1003.0,14482.0,14396.0,-0.016263075926512948,0.918032786885246,0.18214645037694505,0.13055942224733658,0.198409526303458,0.0729495431178246,0.18505140316754654,0.03671596124426313,0.17203745560219566,0.1995948013286106,0.21341841586614665,0.0729495431178246,0.05810604076794796,0.05395757817991372,0.14512727924252655,0.4865002687542208,0.08834433617707457,0.1815915465027338,0.3957619196011217,0.11943681124111165,0.37440154112014506,0.15142072013371485,0.1060369982152469,0.07546956004419389
1089590,0,2010,27.372,2.756,10.847,5.773,38.645,-9.166,1.207,-4.1560000000000015,67.913,15.197,-9.008,-7.915,0.0,0.0,9.093,0.4351449648815397,4.249972506323546,0.5690368559775006,0.40931780366056575,0.133891891095961,-0.1165461693637448,0.3030902892334763,0.04058133199829194,185553.33333333337,0.0,0.0,-0.1165461693637448,-0.13496679575339038,-0.13264028978251585,0.22377159012265696,0.4030450723720054,-0.0611959418668002,-0.15183399093964642,0.044096156656437235,-0.3348677480637148,1.4118442203711823,0.2109089580593307,0.396280870963028,0.10068683326026598
1273385,0,2009,15.332,20.116,0.616,0.001,21.198,8.904,11.772,9.324,34.342,19.173,7.742000000000001,9.908,0.0,0.0,10.439,0.31328984916428865,2.0306542772296203,0.6172616621047115,0.5993244423737698,0.3039718129404228,0.28850969658144543,1.927004502346968,0.5857550521227651,185553.33333333337,0.0,0.0,0.28850969658144543,0.25927435792906645,0.2254382388911537,0.5582959641255605,0.4464504105759712,0.2715042804728903,0.6081398382468041,0.7678058961648839,0.5807461518392903,1.3825984868249412,6.522306287503261e-05,0.040177406731020084,1.3120271327941562
1564822,0,2013,2461.502,116.739,361.872,142.35299999999995,792.309,351.54900000000015,724.368,262.242,5081.191,268.022,89.34899999999998,429.774,24.58,2476.167,331.3040000000001,0.090727744735437,2.39148636901456,0.1559297810296838,0.08471183232435073,0.06520203629424677,0.08458135110449501,0.3523621809576702,0.02297473171152196,0.04668165152252507,0.4873201971742452,0.4921576457173131,0.08458135110449501,0.06918633839979646,0.01758426321702923,0.052747869544758304,0.4844340628014181,0.05161034096140059,0.10653739058509804,0.29427885900559897,0.14281889675490825,0.32188029910193044,0.057831762882987685,0.1470126776252873,0.04742592124645846
1702744,0,2017,396.171,56.50100000000001,29.062,14.859000000000002,133.911,57.33,186.221,-5.4170000000000025,922.488,-12.142,-2.035,66.947,0.234,191.856,33.244,0.1091255387603958,4.028125376007702,0.14516286390717276,0.11365893106468593,0.036037325146776975,0.0725722177415858,1.6995848874984962,0.061248493205331676,0.2941381644021032,0.20797668912766346,0.20823035096391496,0.0725722177415858,0.062147149881624474,-0.002205990755435301,-0.013162230836607091,0.4294592449983089,-0.005872163106728762,-0.013673388511526595,0.4700520734733234,0.1447102387605352,0.3380131306935641,0.037506531270587715,0.07335721191101821,0.14261770800992504
1101026,0,2012,0.0,0.047,0.0,0.939,0.091,-2.08,0.0,-1.773,0.234,-32.51,-3.248,-2.005,0.482,0.594,3.361,-13.974358974358973,0.02707527521570961,0.3888888888888889,0.3888888888888889,14.363247863247864,-8.568376068376068,0.0139839333531687,0.20085470085470086,0.04368029739776951,2.5384615384615383,4.598290598290599,-8.568376068376068,-8.888888888888891,-13.880341880341884,-138.9316239316239,0.0,-7.576923076923077,-247.674,0.0,-1174.15,388796.98539698136,4110.0,0.0,66110.00000000001
1500366,0,2013,20.206,0.667,1.226,0.415,6.678,-0.222,4.53,-3.193,20.524,-1.195,-0.875,0.581,0.0,0.0,16.093,-0.458731241473397,0.4149630274032188,0.32537517053206,0.2656402260767881,0.7841064120054569,0.028308321964529332,0.04144659168582614,0.03249853829662834,185553.33333333337,0.0,0.0,0.028308321964529332,-0.010816604950302086,-0.04263301500682128,-0.05822451763788735,0.984505944260378,-0.15557396219060612,-0.15802236959319016,0.2241908344056221,-0.010986835593388105,0.3304958923092151,0.020538453924576858,0.0606750470157379,0.03300999703058498
